"addr_dept_main","Total_patents","Total_offres"
10,476,3
11,500,NA
12,142,NA
13,4854,50
14,723,1
15,82,1
16,952,NA
17,584,NA
18,245,1
19,258,NA
20,67,NA
21,2650,3
22,217,4
23,43,NA
24,357,NA
25,849,NA
26,819,3
27,1269,2
28,325,1
29,1313,16
30,522,NA
31,8941,228
32,45,NA
33,4016,63
34,4105,20
35,2318,24
36,485,NA
37,597,1
38,12285,21
39,243,NA
40,123,2
41,499,5
42,2206,NA
43,172,NA
44,2860,54
45,899,4
46,497,NA
47,209,NA
48,39,NA
49,1031,2
50,138,NA
51,1425,1
52,116,NA
53,252,3
54,1073,1
55,33,NA
56,726,6
57,405,3
58,129,NA
59,4554,165
60,1009,5
61,821,NA
62,1523,NA
63,9163,10
64,1975,10
65,674,NA
66,382,2
67,3880,20
68,1370,2
69,13608,62
70,160,1
71,349,NA
72,473,NA
73,853,1
74,3421,9
75,104819,826
76,2747,3
77,1512,69
78,22506,65
79,162,3
80,704,2
81,245,NA
82,156,NA
83,537,NA
84,800,NA
85,572,6
86,464,1
87,1365,NA
88,200,NA
89,417,NA
90,68,NA
91,5230,76
92,71966,428
93,5579,60
94,4790,33
95,1354,10
97,188,NA
98,29,NA
NA,225,1296
